Date,Temperature,Sunshine Duration,Relative Humidity,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Precipitation Total,Cloud Cover Total,Mean Sea level Pressure,Wind speed,Solar energy
2018-01-01,26.983492,0.449683577,57.69230769,309.9424983,186.6943428,123.2481536,0,49.46153846,1010.2,10.3623188,197578
2018-01-02,28.18810738,0.650922427,53.84615385,419.1899965,268.3503686,150.839628,0,29.23076923,1010.1,11.99116656,205219
2018-01-03,27.36272238,0.62384706,50.07692308,427.7191665,274.224414,153.4947533,0,32.30769231,1012.161538,9.485069669,210626
2018-01-04,27.19964538,0.681223396,48.92307692,419.9316633,272.1423392,147.7893197,0,26.52307693,1013.115385,7.593981231,211361
2018-01-05,26.24964562,0.864700855,50.15384615,458.7208283,287.1115075,171.6093156,0,0.076923077,1011.376923,7.879313569,215376
2018-01-06,25.90041485,0.865106837,51.23076923,459.6849983,288.139873,171.5451233,0,0,1011.223077,7.859894185,227242
2018-01-07,25.89733785,0.865555556,50.30769231,461.3908282,289.1453288,172.2455002,0,0,1012.346154,8.593923715,213694
2018-01-08,25.84041469,0.857820967,51.07692308,455.3091667,285.6044843,169.7046706,0,0.769230769,1013.446154,12.39447138,210969
2018-01-09,26.74349177,0.866474359,51.38461538,453.5291633,284.3162536,169.2129023,0,0,1014.592308,15.70453208,204257
2018-01-10,26.30964554,0.107094017,56.30769231,211.0041616,69.26745653,141.7367033,0,84.61538462,1015.484615,11.77915467,226680
2018-01-11,28.38579923,0.64534279,55.84615385,429.2025,276.7941069,152.408393,0,30.86153846,1014.069231,7.486613715,218420
2018-01-12,28.49887631,0.647094018,59.92307692,417.1874908,268.1577115,149.0297767,0,30.76923077,1013,5.889964954,196690
2018-01-13,28.42502985,0.638861608,60.46153846,426.7549983,274.1003523,152.6546397,0,31.61538462,1012.623077,7.956749285,178315
2018-01-14,29.12118385,0.762380427,56.38461538,435.8033325,284.1023203,151.701006,0,19.15384615,1013.446154,9.253130915,175303
2018-01-15,28.22272223,0.633035094,58.61538462,424.2333283,271.7823156,152.4510025,0,32.30769231,1013.392308,8.998728569,178365
2018-01-16,28.75272262,0.772817324,51.53846154,441.7366666,284.1344983,157.6021601,0,18.31538462,1012.169231,7.671794038,190093
2018-01-17,27.924261,0.642714128,52.76923077,451.30416,288.1918382,163.1123163,0,31.53846154,1012.638462,9.763314562,204702
2018-01-18,27.248876,0.822723454,52.23076923,471.4774933,296.6651199,174.8123797,0,4.615384615,1012.976923,8.1060252,238161
2018-01-19,26.81195323,0.708857971,52.15384615,462.2808283,294.2152941,168.0655258,0,25,1013.592308,7.720380162,227448
2018-01-20,26.62426085,0.800029549,52.84615385,466.2858332,296.400797,169.8850345,0,9.584615385,1012.638462,7.1628869,227468
2018-01-21,27.52041438,0.777435444,48.23076923,481.9349992,303.7150662,178.2199224,0,18.23076923,1012.038462,8.524563162,208703
2018-01-22,26.22964542,0.772710953,51.61538462,480.5258317,303.0533183,177.4725019,0,10.46153846,1011.223077,8.459237769,242340
2018-01-23,26.50964562,0.692963721,53.07692308,476.7433308,301.0074061,175.7359198,0,26.76923077,1010.753846,8.116453462,228888
2018-01-24,27.79195354,0.843377882,54.07692308,468.214165,298.538716,169.6754585,0,3.153846154,1009.592308,5.286658892,202948
2018-01-25,28.61810692,0.704215309,50.38461538,462.7258258,300.5005063,162.2253213,0,25.84615385,1009.8,5.518777192,198769
2018-01-26,27.89195346,0.630138823,52.76923077,444.1099925,292.076163,152.0338317,0,33.46923077,1010.938462,7.453307569,191837
2018-01-27,28.18656854,0.722725044,51.46153846,472.8124974,306.060516,166.7519751,0,24.23076923,1011.438462,7.796502008,235439
2018-01-28,28.97964538,0.808892978,46.23076923,490.8349967,310.5600856,180.2749076,0,15.75384615,1012.453846,10.00755836,211969
2018-01-29,28.73503,0.791992635,46.53846154,495.9524998,313.9673043,181.9852013,0,17.38461538,1013.576923,9.606694615,220489
2018-01-30,28.05656854,0.660085468,51.69230769,469.252495,304.5371655,164.7153319,0,30.76923077,1014.007692,6.425716385,241348
2018-01-31,28.06272215,0.660705128,50.61538462,480.1549966,311.8022648,168.3527303,0,30.76923077,1013.584615,5.560024515,250359
2018-02-01,29.01272246,0.815170939,39.76923077,508.338325,322.4320853,185.9062344,0,15.38461538,1013.015385,6.272201046,261854
2018-02-02,28.54118408,0.870056144,39.53846154,513.9749948,326.2022912,187.7726985,0,2.307692308,1012.053846,9.029158969,277220
2018-02-03,27.54349146,0.788587018,46.76923077,506.7808274,321.8433113,184.9375053,0,11.53846154,1013.092308,11.05556735,246905
2018-02-04,27.0550305,0.884175128,48.15384615,509.67333,323.8448768,185.828453,0,0.207692308,1013.653846,11.11319174,263975
2018-02-05,27.49964569,0.374674621,47.61538462,428.23833,291.1126667,137.1256625,0,50.88461554,1015.038462,11.551932,262503
2018-02-06,27.06964592,0.561779415,52.15384615,466.2858225,304.8903832,161.3954403,0,40.40769279,1014.992308,7.190395038,279777
2018-02-07,27.72656854,0.199836331,58.84615385,391.89666,253.0667053,138.8299513,0,79.36923115,1013.2,6.619159946,202441
2018-02-08,29.85964562,0.052373158,56.23076923,325.8141607,183.0037413,142.8104174,0,94.61538477,1011.107692,8.103621515,213977
2018-02-09,29.52503008,0.111292968,56.53846154,444.4066633,305.4625919,138.9440688,0,88.15384615,1010.823077,14.73841471,272442
2018-02-10,29.03503008,0.093371518,60.76923077,403.24416,265.9062498,137.33791,0,89.83846169,1012.730769,14.91375736,224575
2018-02-11,28.10733777,0.052373162,59.23076923,280.572495,146.8231218,133.7493703,0,94.15384615,1014.561538,15.84689425,159400
2018-02-12,29.23887592,0.659338062,52.61538462,482.89916,315.6505758,167.2485799,0,31.53846154,1015.130769,14.0881354,226217
2018-02-13,28.84426092,0.477745036,53.46153846,459.1658332,312.5837323,146.5821014,0,48.92307831,1016.530769,10.90625502,190980
2018-02-14,29.31579877,0.779895206,45.69230769,512.6399933,331.4214167,181.2185688,0,10.90769262,1016.584615,12.26925568,102108
2018-02-15,29.714261,0.693702494,44.76923077,514.1233265,334.5730835,179.5502372,0,28.6846157,1016.6,9.616587369,223814
2018-02-16,29.96118431,0.701377521,44.23076923,526.583325,337.3748238,189.2084911,0,28.30769283,1015.307692,5.896097123,234520
2018-02-17,30.32579954,0.786416618,47.53846154,518.2766607,335.1303535,183.1463055,0,18.37692331,1011.661538,6.316877108,261322
2018-02-18,29.184261,0.670341878,54.15384615,499.3641642,323.6672348,175.6969224,0,30.76923077,1011.615385,11.06998769,276740
2018-02-19,28.82349169,0.686338873,53.61538462,508.8574907,332.5269549,176.3305339,0,28.84615385,1012.407692,11.67957061,235664
2018-02-20,29.05195292,0.714568096,53.30769231,503.14666,332.6097108,170.5369472,0,26.23076923,1011.615385,11.8182688,256326
2018-02-21,29.40041462,0.679764492,51.46153846,503.8141575,330.9258703,172.8882881,0,29.53846154,1010.476923,8.724252338,266352
2018-02-22,29.40195338,0.753542003,49.23076923,524.2099975,341.422024,182.7879693,0,15.46153846,1009.938462,11.90979344,261024
2018-02-23,29.73041492,0.75108497,48.23076923,527.6958263,344.7533579,182.9424693,0,16.84615385,1010.938462,13.21277977,263991
2018-02-24,29.58195331,0.904880432,44.23076923,550.6874942,354.3728047,196.3146863,0,0.153846154,1012.8,13.03861478,275329
2018-02-25,29.97887631,0.904333514,39.23076923,559.365,360.0136946,199.3512918,0,0.307692308,1012.815385,9.198290431,309102
2018-02-26,30.81349162,0.908739316,36.53846154,560.2549958,360.9989923,199.2560053,0,0,1011.461538,7.936825369,322087
2018-02-27,30.93349177,0.867575015,33.84615385,563.8149933,363.3905094,200.4244843,0,6.769230769,1010.7,9.130453777,280723
2018-02-28,31.04579931,0.827991451,41.15384615,560.9966613,361.8368198,199.1598256,0,15.38461538,1010.692308,11.39672851,280904
2018-03-01,30.97810738,0.751410256,42.69230769,553.134995,359.3108702,193.8241265,0,23.07692308,1010.376923,11.91481345,280246
2018-03-02,31.40656854,0.79917258,40.76923077,561.3675,362.9697148,198.3977847,0,18.15384615,1009.876923,11.23547938,286427
2018-03-03,31.71426131,0.828931623,37.92307692,563.5924867,364.9459173,198.6465669,0,15.38461538,1009.323077,13.85020753,295219
2018-03-04,31.47887623,0.83277005,38.46153846,568.1908333,367.5460318,200.6447921,0,13.45384616,1008.869231,17.23019725,286393
2018-03-05,30.91503023,0.808846614,43.84615385,562.4799996,365.502076,196.9779182,0,10.86923077,1010.069231,15.02234861,296917
2018-03-06,31.15502969,0.893787056,39.38461538,570.63833,369.3854985,201.2528198,0,2.923076923,1010.569231,14.18336688,277142
2018-03-07,31.43733808,0.892838731,39.76923077,571.825,371.1005013,200.7244963,0,2.676923092,1010.638462,13.28124273,263781
2018-03-08,31.28503046,0.920076151,39,575.4591617,372.9289245,202.5302394,0,0.076923077,1011.292308,14.20871918,274729
2018-03-09,31.60810662,0.753696583,45.92307692,558.8458275,369.8393275,189.0065016,0,23.07692308,1010.907692,14.16917689,243431
2018-03-10,32.913492,0.800597833,43.84615385,555.5083283,365.6975218,189.8108073,0,18.23076923,1010.653846,10.7214898,249235
2018-03-11,32.42426092,0.804291239,44.61538462,560.4774979,368.5968895,191.8806147,0,17.90769233,1011.292308,14.27699244,254212
2018-03-12,30.96118369,0.677051736,52.46153846,538.9691608,356.0370767,182.9320797,0,30.81538462,1011.269231,16.75419635,249745
2018-03-13,32.25579938,0.809529003,42.38461538,581.0216617,379.1939217,201.8277325,0,17.46153846,1010.7,17.12987631,269854
2018-03-14,32.13887631,0.829894985,44.07692308,570.638324,374.7618729,195.8764561,0,15.56923077,1010.3,18.64018775,236445
2018-03-15,29.34272215,0.293632478,62.61538462,252.1666632,82.55657924,169.6100823,0,69.23076923,1010.1,15.94041358,257817
2018-03-16,31.21887638,0.405073649,61.61538462,477.9299882,307.5948718,170.3351163,0.023076923,59.15384615,1008.961538,13.62828982,159133
2018-03-17,31.311953,0.52157711,52.69230769,511.6016642,335.9689297,175.6327285,0,46,1010.230769,16.24955677,166990
2018-03-18,31.79579969,0.714916804,50.15384615,548.6108242,369.8369301,178.7738927,0,26.92307692,1011.153846,14.01982861,283522
2018-03-19,31.58349169,0.89136343,49.23076923,584.9524914,382.7560787,202.1964061,0,3.923076923,1011.969231,15.17525689,264264
2018-03-20,32.58810708,0.885781508,45.30769231,587.4741617,384.7611628,202.7130034,0,5.615384615,1010.546154,16.06394633,241872
2018-03-21,34.06887569,0.909523549,37.46153846,578.2774858,382.4242217,195.8532573,0,7.769230769,1008.761538,19.46643192,255992
2018-03-22,33.55041508,0.883529273,45.76923077,456.7183325,276.8082973,179.9100349,0,10.23076923,1006.646154,19.41723585,229205
2018-03-23,34.83733792,0.851828058,44.84615385,566.11416,379.2931841,186.8209731,0,13.23076923,1006.838462,18.07233292,250853
2018-03-24,33.24887623,0.748910709,50.61538462,577.6841617,383.8795003,193.8046543,0,23.84615385,1010.069231,17.0339735,253950
2018-03-25,32.74426123,0.741178804,51.38461538,566.9299942,378.6873488,188.2426329,0,24.65384618,1012.030769,15.2439865,233553
2018-03-26,32.61041477,0.736223394,48.53846154,576.794155,385.2566079,191.5375458,0,24.61538524,1012.146154,15.6389002,240812
2018-03-27,32.42579885,0.75648618,49.92307692,587.54833,389.7230058,197.8253183,0,22.73076934,1010.407692,19.38664026,268188
2018-03-28,33.05272269,0.773454264,52.61538462,585.4716596,388.9034581,196.5681954,0,21.15384615,1008.815385,21.17138958,259062
2018-03-29,33.15195338,0.8259379,55.30769231,590.2924975,391.6328142,198.6596738,0,16.23846155,1008.646154,23.36313392,215367
2018-03-30,33.21964562,0.706232035,54.61538462,569.3774933,386.0798637,183.2976364,0,27.37692431,1008.030769,24.44559377,213408
2018-03-31,32.87733777,0.694289465,56.92307692,579.2416588,391.2937017,187.9479454,0,28.73846223,1008.030769,23.13657138,217890
2018-04-01,32.34579908,0.698436991,56.07692308,554.2474925,369.6442606,184.6032332,0,29.38461538,1008.292308,23.52910885,240267
2018-04-02,31.57195346,0.605064103,55.69230769,523.0974925,345.1408506,177.956634,0,38.46153846,1009.515385,22.71094638,269286
2018-04-03,32.94272246,0.802495453,49.69230769,581.7633283,395.0323372,186.7309934,0,18.53846154,1008.692308,21.94848623,248278
2018-04-04,31.00195338,0.528547008,61.23076923,465.5441608,274.6151978,190.9289637,0,46.15384615,1007.946154,21.16075669,254433
2018-04-05,31.39810738,0.677696856,58,547.7949913,359.7627035,188.0322795,0.015384615,31.23076923,1007.107692,22.200885,270113
2018-04-06,32.71118369,0.76285243,50.61538462,599.4149967,397.2458704,202.1691113,0,22.40000023,1007.684615,23.11733008,255935
2018-04-07,32.95349162,0.615931081,47.46153846,575.6816583,393.1963228,182.4853338,0,35.69230815,1008.869231,23.09786585,273986
2018-04-08,32.07733815,0.743804331,54.84615385,574.2724967,385.0917072,189.1807871,0.007692308,24.61538462,1010.323077,20.11967354,252027
2018-04-09,32.17041462,0.758747954,51.92307692,572.863325,384.1409963,188.7223237,0,23.23076923,1010.8,16.64336669,244201
2018-04-10,32.18272262,0.752414982,51.23076923,581.68916,395.2509689,186.438188,0,23.84615385,1009.815385,18.58391292,274046
2018-04-11,33.20656877,0.912224495,50.23076923,611.7266625,404.46117,207.265492,0,7.923076923,1009.576923,17.86210197,279794
2018-04-12,33.016569,0.761068378,52.30769231,584.804155,393.9935133,190.8106427,0,23.07692308,1008.438462,19.87953708,237534
2018-04-13,33.23195354,0.838247862,51.23076923,601.8624967,401.2053225,200.6571697,0,15.38461538,1008.9,22.45048392,259174
2018-04-14,33.38887638,0.838482905,53.38461538,598.4508267,400.3865531,198.0642668,0,15.38461538,1008.746154,20.89243946,278126
2018-04-15,34.13810715,0.783889799,50.92307692,598.9699942,401.3669728,197.6030183,0,20.53846154,1008.553846,20.52313615,197176
2018-04-16,34.83272262,0.835629028,48.46153846,591.5533258,400.1577562,191.3955733,0,15.70769231,1008.884615,19.28543246,150833
2018-04-17,34.16272246,0.7598527,52.23076923,584.8783333,393.0391798,191.8391464,0,23.30769231,1009.661538,22.93470677,202349
2018-04-18,35.20579954,0.812852154,47.23076923,593.1849933,402.7776204,190.4073747,0,17.89230769,1008.207692,22.15566962,236309
2018-04-19,35.86579969,0.914233037,50.15384615,600.156665,403.565786,196.5908829,0,7.923076926,1005.676923,22.94724054,265978
2018-04-20,35.98195315,0.93113309,51.07692308,597.93166,403.620335,194.3113189,0,3.700000011,1005.338462,24.03461146,213457
2018-04-21,35.31964577,0.818225581,53.69230769,595.9291633,402.7973196,193.1318329,0,17.46153846,1006.292308,24.23535885,42421
2018-04-22,34.93733808,0.763675215,52.38461538,594.9649947,401.3020008,193.6629936,0,23.07692308,1007.038462,22.71219223,277752
2018-04-23,35.62041508,0.840079105,50.76923077,609.7983247,406.3059158,203.4923962,0,15.46153846,1006.576923,21.361699,257160
2018-04-24,35.20272246,0.890650801,47.84615385,618.5499942,410.2534235,208.2965683,0,9,1006.769231,22.50717262,37849
2018-04-25,35.72195354,0.917579105,44.53846154,613.5066642,407.7577573,205.7488932,0,7.769230769,1006.223077,22.34649123,281254
2018-04-26,35.51272262,0.976410256,48.92307692,617.7341633,410.1837905,207.5503738,0,0,1006.184615,22.02680038,285466
2018-04-27,34.06503031,0.751280689,51.15384615,605.1258233,406.6854217,198.4403942,0,24.38461538,1008.207692,23.93677531,274816
2018-04-28,33.91503046,0.763057828,49.30769231,598.8216658,405.0225146,193.7991512,0,23.30769231,1009.069231,23.35734538,26553
2018-04-29,34.456568,0.789564924,53.53846154,600.3049867,404.2328333,196.0721505,0,20.38461538,1006.469231,23.64735692,256492
2018-04-30,35.63503038,0.900229131,52.15384615,615.2866608,410.0499797,205.2366772,0,8.461538462,1004.223077,23.47573808,261995
2018-05-01,35.65964538,0.920341878,52.92307692,613.2099967,409.0824925,204.1275025,0,7.692307692,1005.376923,24.68284246,240525
2018-05-02,34.96118392,0.744342609,54.76923077,560.7741667,389.2578635,171.5162958,0,25.21538462,1006.369231,27.46107131,230736
2018-05-03,35.19503038,0.717766863,53,580.2799975,400.341235,179.9387631,0,27.78461554,1006.846154,24.20080377,150991
2018-05-04,34.35118423,0.907277531,50.07692308,591.3308283,388.8890178,202.4418083,0,7.715384615,1008.446154,23.32876577,220551
2018-05-05,34.98503054,0.905159656,49.53846154,611.3558225,409.2119048,202.1439203,0,9.261538488,1008.3,22.88798223,280928
2018-05-06,34.89733785,0.833751015,48.38461538,612.839155,409.5475375,203.291614,0,16.46153846,1008.269231,22.05157754,288601
2018-05-07,35.55887623,0.7848568,54.23076923,579.6866583,395.7813617,183.9052928,0.007692308,21.0923077,1006.015385,20.27799,281004
2018-05-08,35.89426108,0.772815677,51.76923077,593.5558255,406.7061425,186.8496842,0,22.26153892,1005.430769,21.19692115,254857
2018-05-09,35.43503031,0.758801598,51.76923077,601.12083,407.2835848,193.8372417,0,21.66153857,1006.869231,20.81656515,254599
2018-05-10,35.29118408,0.842798689,47.92307692,597.4866667,406.1540482,191.3326203,0,14.10000085,1008.253846,23.30463,244511
2018-05-11,36.61041492,0.881587556,46.61538462,613.8774871,410.8904603,202.9870183,0,11.59230788,1006.453846,22.095222,235229
2018-05-12,36.24272262,0.976698131,50.76923077,614.2483267,410.0877037,204.1606163,0,1.323076946,1005.630769,20.42678177,236245
2018-05-13,35.26887646,0.796235681,53.61538462,586.2874933,400.4443175,185.8431696,0.007692308,20.07692331,1006.392308,21.90490838,180124
2018-05-14,35.59195369,0.91216721,49.30769231,617.2891583,411.0234633,206.2656908,0,7.892307692,1006.076923,24.94748862,255000
2018-05-15,34.69733777,0.329541736,51.23076923,537.4116617,366.8334028,170.5782602,0,66.25384615,1005.715385,21.89071038,218200
2018-05-16,35.15656885,0.851288643,48.76923077,612.2458283,408.4535035,203.7923253,0,14.38461538,1005.015385,23.01931208,237606
2018-05-17,35.27733762,0.899345333,49.46153846,612.0233308,408.9473392,203.0759822,0,9.923076923,1004.961538,22.13413569,236366
2018-05-18,36.10579931,0.982094919,48.76923077,607.2024925,408.6236208,198.5788683,0,1.069230769,1003.638462,21.80565085,237733
2018-05-19,35.93964562,0.760556462,52.38461538,586.9549917,397.3358661,189.6191157,0,23.89230769,1003.630769,21.92682069,238639
2018-05-20,36.46656877,0.843453359,50.23076923,600.8241667,405.3977078,195.4264471,0,15.63846154,1003.761538,20.94544062,248117
2018-05-21,36.02810731,0.798199672,46.30769231,595.8549958,404.2401542,191.6148396,0,19.89230774,1004.707692,21.19347854,226495
2018-05-22,34.658107,0.62152209,53,510.34083,321.5888288,188.7519978,0,37.42307725,1005.261538,16.52233965,208501
2018-05-23,34.23426092,0.652454982,54.30769231,551.5774958,380.6384913,170.9390013,0,34.51538475,1005.007692,21.16776008,200739
2018-05-24,34.96733808,0.707037639,49.76923077,582.949995,404.6330973,178.3168935,0,28.92307723,1003.930769,20.16400415,197867
2018-05-25,34.80195323,0.558101473,51.84615385,547.3499963,372.9018067,174.4481882,0,43.84615401,1003.338462,17.30767638,196241
2018-05-26,35.24579946,0.90391435,50.53846154,581.0958233,400.1548417,180.9409683,0,8.592307846,1002.984615,17.74660131,247349
2018-05-27,35.48349192,0.695973577,48.38461538,555.6566608,393.0030252,162.6536364,0,28.33846295,1002.969231,16.62152008,223481
2018-05-28,36.41733831,0.594108015,49.46153846,539.04333,376.8074375,162.2358977,0,39.53846231,1000.561538,17.95334177,210918
2018-05-29,39.75656815,0.790983804,39.38461538,573.3083225,397.5330005,175.7753113,0,19.3384627,998.3,19.64487954,232698
2018-05-30,39.21887646,0.794599014,43.46153846,563.9633325,384.2642869,179.6990435,0.015384615,19.76923077,999.5307692,16.03050312,235635
2018-05-31,37.33733746,0.81563011,51.92307692,582.2083333,400.5646028,181.6437341,0,17.79230786,1002.4,18.32285119,182235
2018-06-01,34.62579962,0.43355156,55.61538462,416.4458292,251.4446136,165.0012172,0.484615385,55.78461577,1004.515385,16.70256608,193379
2018-06-02,33.99656862,0.257266776,52.92307692,403.5408315,220.9014106,182.6394193,0.030769231,72.19230777,1004.953846,10.70334611,112403
2018-06-03,35.01579962,0.488775233,50.15384615,476.8916583,308.7055155,168.1861453,0,49.16923162,1002.723077,16.44035908,214852
2018-06-04,37.06041485,0.638254723,46.15384615,571.0091642,397.2704933,173.7386613,0,34.05384725,1000.7,19.17329108,259759
2018-06-05,34.547338,0.215220945,55.46153846,338.1258327,173.9395285,164.1863029,0.238461538,76.76923138,1002.507692,16.42535115,228401
2018-06-06,33.68656869,0.174304421,59.84615385,315.5791642,156.0345623,159.5446039,0.776923077,81.07692308,1004.338462,10.56268362,64293
2018-06-07,30.38964562,0,71.69230769,215.3058296,75.6982163,139.6076118,0.038461538,100,1003.2,16.37574688,129225
2018-06-08,30.10733762,0,68.53846154,249.2741658,73.94911765,175.3250458,0.176923077,100,1001.046154,22.70052962,158294
2018-06-09,34.00887662,0.542611372,50.23076923,531.7749917,373.6628523,158.1121492,0,44.07692446,999.9384615,28.51788369,126659
2018-06-10,34.58656823,0.241407528,47,425.5683258,251.9355209,173.6327931,0,75.46153846,1000.115385,31.15793177,141281
2018-06-11,33.31426131,0.108720858,49.61538462,393.6024967,221.9711437,171.6313487,0.069230769,88.492308,1001.192308,30.75116692,148562
2018-06-12,33.48887631,0.045826509,48.76923077,275.7516625,95.53968606,180.2119778,0.253846154,93.84615385,1001.392308,28.40106854,138102
2018-06-13,32.17579892,0.036824877,53.15384615,248.3841642,45.84123042,202.5429335,0,95.61538462,1002.592308,24.94620062,236853
2018-06-14,36.43656877,0.731603926,40.46153846,557.2883283,385.2613362,172.0269805,0.046153846,24.7230777,1002.030769,23.46946323,261266
2018-06-15,37.001184,0.74646891,37.23076923,548.7591633,381.0501311,167.7090325,0.053846154,23.30769232,1002.761538,21.87014792,245517
2018-06-16,36.69349154,0.509120914,35.69230769,471.4033308,296.7677698,174.6355601,0.153846154,45.65384656,1003.715385,20.740926,225097
2018-06-17,36.82272223,0.476830326,34.53846154,451.3783333,273.8046971,177.5736267,0.176923077,49.71538478,1003.353846,26.74295215,230771
2018-06-18,35.56041446,0.525654203,38.38461538,397.3849958,193.7853301,203.5996652,0.046153846,46.30769231,1003.076923,25.34958069,227255
2018-06-19,35.11733808,0.476080267,42.53846154,451.526665,264.0637752,187.4628835,0.084615385,49.61538462,1002.815385,22.87414723,237941
2018-06-20,35.31426123,0.336968084,43.38461538,322.10583,118.8856918,203.2201388,0.261538462,64.46153846,1002.553846,14.53900978,266775
2018-06-21,33.06349192,0.053191488,55.69230769,203.2166653,58.8814416,144.3352208,0.853846154,94.07692323,1002.769231,12.43095688,222440
2018-06-22,30.11810662,0,70.38461538,294.2933325,113.8005733,180.4927615,0.276923077,100,1003.430769,9.753186623,153262
2018-06-23,29.37502985,0.027004911,75,201.9558329,47.63479049,154.321043,0.569230769,95.76923077,1003.084615,12.74068819,151928
2018-06-24,31.23195308,0,65.38461538,145.2924978,13.1657416,132.1267571,0.361538462,100,1003.138462,12.97747516,170102
2018-06-25,32.55041485,0,50.76923077,167.4683313,15.30165299,152.1666763,0.184615385,100,1002.292308,15.17584746,235578
2018-06-26,31.13426092,0,61.23076923,194.6874975,27.0593421,167.628156,0.215384615,100,1001.430769,11.16322085,201973
2018-06-27,32.61041492,0.090425533,48.76923077,254.8366655,85.89026403,168.9464036,0,90.57692323,1000.992308,23.72172931,112944
2018-06-28,33.48426069,0.104746315,45.23076923,312.5383296,116.8631332,195.6751948,0.061538462,89.23076954,1000.953846,21.10415123,120370
2018-06-29,33.08272246,0.23510638,50.07692308,321.6608267,121.930088,199.7307419,0.207692308,75.59230786,1002.169231,13.60148298,198868
2018-06-30,31.668876,0.052373157,58.61538462,185.8616664,42.30040417,143.5612577,0.576923077,93.23076923,1003.8,11.06070466,160311
2018-07-01,30.37656823,0,66.07692308,300.0041644,154.1581201,145.8460453,0.261538462,100,1004.515385,17.51155777,86817
2018-07-02,29.87964531,0.069639928,70.38461538,329.9674958,144.7709606,185.1965344,0,92.53076938,1003.653846,17.81416062,187290
2018-07-03,30.74195308,0,63.61538462,185.1199983,30.82870515,154.2912927,0.053846154,99.69230769,1004.023077,16.986045,144290
2018-07-04,32.94502985,0,48.69230769,226.5049968,67.26130823,159.2436903,0.230769231,99.92307692,1003.523077,21.205566,191103
2018-07-05,31.69118385,0,51.69230769,116.1449988,3.523584891,112.6214118,0.507692308,100,1003.761538,17.57894862,244089
2018-07-06,29.96272208,0.062193128,65.15384615,226.2824992,90.85509829,135.4273951,0.338461538,93.46153846,1002.7,22.23068792,142172
2018-07-07,30.51964523,0,58.76923077,134.6124994,3.163386171,131.4491129,0.130769231,100,1001.215385,21.82400762,101757
2018-07-08,29.85810723,0.061374799,64.84615385,133.7224997,19.0073528,114.7151471,0.084615385,93.30769231,1000.630769,18.90604738,71793
2018-07-09,29.98272246,0.068739769,63.92307692,174.0691625,9.448974373,164.6201899,0.007692308,93.07692308,1001.184615,21.07049285,78190
2018-07-10,26.91041462,0.018003272,77.92307692,64.969999,1.267088892,63.70291058,0.3,97.38461538,1002.315385,24.11176046,140471
2018-07-11,31.777338,0.029459899,54.38461538,269.2991633,110.4151142,158.884047,0,95.84615385,1001.984615,25.14453638,138712
2018-07-12,29.00272254,0,66.76923077,121.1141662,11.27618888,109.8379763,0.015384615,100,1001.815385,28.63041346,70385
2018-07-13,29.81426015,0.01472995,67.07692308,244.0824982,64.23952813,179.8429676,0.284615385,97.23076923,1001.238462,23.739419,151337
2018-07-14,29.77118392,0,64,153.4508306,32.84562584,120.6052028,0.007692308,100,1000.515385,23.26633808,139466
2018-07-15,30.74118392,0.072831422,60.07692308,257.8033315,62.93525963,194.8680721,0.046153846,91.76923077,1000.161538,24.61551415,79930
2018-07-16,31.76964569,0.147299513,55.23076923,375.5799967,204.1968502,171.3831488,0.007692308,84.76923077,1000.507692,28.59994231,157305
2018-07-17,33.21733785,0.675365223,50.61538462,507.9674933,354.3126285,153.6548663,0.007692308,29.65384678,1000.076923,32.13908977,223226
2018-07-18,33.94349192,0.684215314,47.07692308,488.0166633,305.0000634,183.0165927,0.030769231,29.46153846,1000.953846,31.62404785,202303
2018-07-19,33.37810708,0.117021277,47.15384615,409.474165,249.3879758,160.0861838,0.207692308,88.07692323,1001.076923,32.83871623,194880
2018-07-20,33.53579985,0,47.53846154,366.8283321,203.2003932,163.6279314,0,100,1001.369231,31.33677915,107522
2018-07-21,31.08656869,0,55.46153846,220.6458308,61.59618862,159.049643,0.023076923,100,1004.230769,24.32787062,178242
2018-07-22,32.65656838,0,48.53846154,273.6749942,82.18932058,191.4856744,0,100,1003.107692,27.83579985,172037
2018-07-23,33.81349192,0.29279869,45.15384615,454.864165,311.7802223,143.0839512,0,70.16923085,1002.769231,25.09531369,253524
2018-07-24,34.78733808,0.542364069,42.84615385,450.5624967,278.3796333,172.1828596,0,43.61538515,1003.923077,24.18808585,210140
2018-07-25,35.75041462,0.780546998,39,566.0399992,395.013575,171.0264283,0,18.9000011,1003.523077,24.86914915,247198
2018-07-26,33.87733808,0.728256036,44.53846154,451.4525,271.1409046,180.3115961,0,24.70769338,1005.076923,27.84698962,234365
2018-07-27,34.57887654,0.613584285,43.15384615,550.2424933,388.6406467,161.6018425,0,37.70769294,1004.430769,25.69825223,177597
2018-07-28,34.50579915,0.090016365,43.15384615,421.2666638,291.9880333,129.2786303,0,90.61538477,1003.492308,22.48105923,147716
2018-07-29,35.39503054,0.616378609,40.61538462,451.23,305.7012359,145.5287553,0.069230769,34.48461615,1002.3,22.51353198,168603
2018-07-30,35.65964554,0.494108989,39.92307692,479.9324975,341.2966398,138.6358498,0.076923077,46.94615492,1001.938462,20.66507654,249835
2018-07-31,35.02118415,0.318989808,39.84615385,495.5816667,353.7823307,141.7993328,0,66.23076969,1002.892308,24.71290592,183074
